region,wirtschaftszweig,medianlohn_chf
Schweiz,Sonst. wirtschaftliche Dienstl. (ohne 78),5364.0
Genferseeregion,Sonst. wirtschaftliche Dienstl. (ohne 78),5634.0
Espace Mittelland,Sonst. wirtschaftliche Dienstl. (ohne 78),5535.0
Nordwestschweiz,Sonst. wirtschaftliche Dienstl. (ohne 78),5251.0
Zürich,Sonst. wirtschaftliche Dienstl. (ohne 78),5067.0
Ostschweiz,Sonst. wirtschaftliche Dienstl. (ohne 78),5576.0
Zentralschweiz,Sonst. wirtschaftliche Dienstl. (ohne 78),5364.0
Tessin,Sonst. wirtschaftliche Dienstl. (ohne 78),4064.0
Schweiz,Vermittlung u. Überlassung v. Arbeitskräften,5520.0
Genferseeregion,Vermittlung u. Überlassung v. Arbeitskräften,5043.0
Espace Mittelland,Vermittlung u. Überlassung v. Arbeitskräften,5731.0
Nordwestschweiz,Vermittlung u. Überlassung v. Arbeitskräften,5899.0
Zürich,Vermittlung u. Überlassung v. Arbeitskräften,6071.0
Ostschweiz,Vermittlung u. Überlassung v. Arbeitskräften,5217.0
Zentralschweiz,Vermittlung u. Überlassung v. Arbeitskräften,6077.0
Tessin,Vermittlung u. Überlassung v. Arbeitskräften,4786.0
Schweiz,"Öffentl. Verwaltung, Verteidigung; Sozialvers.",8016.0
Genferseeregion,"Öffentl. Verwaltung, Verteidigung; Sozialvers.",8144.0
Espace Mittelland,"Öffentl. Verwaltung, Verteidigung; Sozialvers.",8529.0
Nordwestschweiz,"Öffentl. Verwaltung, Verteidigung; Sozialvers.",7740.0
Zürich,"Öffentl. Verwaltung, Verteidigung; Sozialvers.",7446.0
Ostschweiz,"Öffentl. Verwaltung, Verteidigung; Sozialvers.",7541.0
Zentralschweiz,"Öffentl. Verwaltung, Verteidigung; Sozialvers.",7880.0
Tessin,"Öffentl. Verwaltung, Verteidigung; Sozialvers.",7735.0
Schweiz,Erziehung und Unterricht,8673.0
Genferseeregion,Erziehung und Unterricht,8368.0
Espace Mittelland,Erziehung und Unterricht,8838.0
Nordwestschweiz,Erziehung und Unterricht,9266.0
Zürich,Erziehung und Unterricht,8641.0
Ostschweiz,Erziehung und Unterricht,9022.0
Zentralschweiz,Erziehung und Unterricht,8805.0
Tessin,Erziehung und Unterricht,7879.0
Schweiz,Gesundheits- u. Sozialwesen,6430.0
Genferseeregion,Gesundheits- u. Sozialwesen,6638.0
