job_id,job_title,company,location,stadt_normalisiert,bfs_region,category,lohnkategorie,wirtschaftszweig_bfs,seniority,contract_type,salary_range,gehalt_monat_chf,gehalt_jahr_chf,bfs_medianlohn_chf,lohn_diskrepanz_chf,lohn_diskrepanz_pct,skills_liste,skills_anzahl,date_posted,job_url
f14ed22f-c49b-4a1b-a4dd-b8dedd00acbb,Projektleiter Heizung Lüftung Kälte Klima (a),Work4you AG,Basel,Basel,Nordwestschweiz,Baugewerbe / Immobilien,Mittellohn,Baugewerbe,Lead/Manager,On-site,CHF 85000 - 125000,8750.0,113750.0,6011.0,2739.0,45.6,Deutsch | Englisch | CAD,3,2026-04-21T18:04:23+02:00,https://www.jobs.ch/de/stellenangebote/detail/f14ed22f-c49b-4a1b-a4dd-b8dedd00acbb/
a81d45e6-91dd-40ca-933f-f781f6351961,Mitarbeiter/in Info Point Stückipark (40-60%),Wincasa AG,Basel,Basel,Nordwestschweiz,Baugewerbe / Immobilien,Mittellohn,Baugewerbe,Mid,On-site,CHF 51625 - 91625 (jobs.ch estimate),5969.0,77597.0,6011.0,-42.0,-0.7,Deutsch,1,2026-04-21T10:33:15+02:00,https://www.jobs.ch/de/stellenangebote/detail/a81d45e6-91dd-40ca-933f-f781f6351961/
e10795ac-d808-4c5b-bf13-04db2b2f7309,Letting Advisor Ouest 80-100% (h/f/d),Swiss Prime Site Management AG,Genève,Genf,Genferseeregion,Baugewerbe / Immobilien,Mittellohn,Baugewerbe,Mid,On-site,CHF 75080 - 115080 (jobs.ch estimate),7923.0,102999.0,6205.0,1718.0,27.7,,0,2026-04-21T10:33:34+02:00,https://www.jobs.ch/de/stellenangebote/detail/e10795ac-d808-4c5b-bf13-04db2b2f7309/
fe1208c3-da02-4721-af4d-0e66b29a21d7,Zimmermann / Zimmerin als Praxisbildner*in,ERNE AG Holzbau,Möhlin,Möhlin,Andere,Baugewerbe / Immobilien,Mittellohn,Baugewerbe,Mid,On-site,CHF 45000 - 85000 (jobs.ch estimate),5417.0,70421.0,6116.0,-699.0,-11.4,,0,2026-04-21T11:26:50+02:00,https://www.jobs.ch/de/stellenangebote/detail/fe1208c3-da02-4721-af4d-0e66b29a21d7/
8f11fbfb-0dea-4bd0-b318-6aca1420f74e,Baufachmann / Baufachfrau,Terradata AG,"Glattpark (Opfikon), Pfäffikon SZ oder Rotkreuz",Zug,Zentralschweiz,Baugewerbe / Immobilien,Mittellohn,Baugewerbe,Mid,On-site,CHF 58000 - 98000 (jobs.ch estimate),6500.0,84500.0,6174.0,326.0,5.3,,0,2026-04-21T12:03:36+02:00,https://www.jobs.ch/de/stellenangebote/detail/8f11fbfb-0dea-4bd0-b318-6aca1420f74e/
bda7fd37-1df8-4f30-b889-efcb23244746,Käuferbetreuung Architektur 80 - 100%,ADT INNOVA Architektur und Planungs AG,Dübendorf,Dübendorf,Andere,Baugewerbe / Immobilien,Mittellohn,Baugewerbe,Mid,On-site,CHF 57000 - 92000 (jobs.ch estimate),6208.0,80704.0,6116.0,92.0,1.5,,0,2026-04-21T13:03:53+02:00,https://www.jobs.ch/de/stellenangebote/detail/bda7fd37-1df8-4f30-b889-efcb23244746/
2176abac-7317-47fb-87ed-09cecd5c8a0f,Strassenbauer 80 - 100% (w/m/d),Kästli Bau AG,Rubigen,Rubigen,Andere,Baugewerbe / Immobilien,Mittellohn,Baugewerbe,Mid,On-site,CHF 58000 - 78000 (jobs.ch estimate),5667.0,73671.0,6116.0,-449.0,-7.3,,0,2026-04-21T13:34:10+02:00,https://www.jobs.ch/de/stellenangebote/detail/2176abac-7317-47fb-87ed-09cecd5c8a0f/
23b7d1ee-991c-42f1-a2fb-e7319b945ba2,Un planificateur électricien confirmé (H/F),Zanetti Ingénieurs-Conseils,1213 Petit-Lancy,1213 Petit-Lancy,Andere,Baugewerbe / Immobilien,Mittellohn,Baugewerbe,Mid,On-site,CHF 59872 - 99872 (jobs.ch estimate),6656.0,86528.0,6116.0,540.0,8.8,Excel | AutoCAD,2,2026-04-21T15:33:46+02:00,https://www.jobs.ch/de/stellenangebote/detail/23b7d1ee-991c-42f1-a2fb-e7319b945ba2/
e8d9bba5-6a86-40f8-9d48-45ce38889831,Junior Immobilienbewirtschafter/in 80%-100%,Vimova Bewirtschaftung AG,Basel,Basel,Nordwestschweiz,Baugewerbe / Immobilien,Mittellohn,Baugewerbe,Junior,On-site,CHF 71000 - 111000 (jobs.ch estimate),7583.0,98579.0,6011.0,1572.0,26.2,Deutsch,1,2026-04-17T16:03:58+02:00,https://www.jobs.ch/de/stellenangebote/detail/e8d9bba5-6a86-40f8-9d48-45ce38889831/
ac98d945-c333-447d-b97e-f7bbee07948b,Immobilienbewirtschafter Wohnen/Gewerbe (m/w/d),Apleona Schweiz AG,Root LU,Root LU,Andere,Baugewerbe / Immobilien,Mittellohn,Baugewerbe,Mid,On-site,CHF 65000 - 105000 (jobs.ch estimate),7083.0,92079.0,6116.0,967.0,15.8,Deutsch,1,2026-04-17T17:26:58+02:00,https://www.jobs.ch/de/stellenangebote/detail/ac98d945-c333-447d-b97e-f7bbee07948b/
921cfb41-a0c9-4c71-b938-a289547624f9,PAS Consultant Swiss Individual Tax Zurich (Graduate),Ernst & Young AG,Zurich,Zuerich,Zürich,Beratung diverse,Mittellohn,"Freiberufliche, wissenschaftliche und technische Dienstl.",Junior,On-site,CHF 89870 - 129870 (jobs.ch estimate),9156.0,119028.0,8098.0,1058.0,13.1,Go | Deutsch | Englisch | Compliance,4,2026-04-13T02:57:26+02:00,https://www.jobs.ch/de/stellenangebote/detail/921cfb41-a0c9-4c71-b938-a289547624f9/
cc02dbad-efa8-44e1-bb19-16e7dc6d478c,(Senior) Manager - Tax Accounting & Risk Advisory Services (Zurich),Ernst & Young AG,Zurich,Zuerich,Zürich,Beratung diverse,Mittellohn,"Freiberufliche, wissenschaftliche und technische Dienstl.",Lead/Manager,On-site,CHF 64500 - 104500 (jobs.ch estimate),7042.0,91546.0,8098.0,-1056.0,-13.0,Go | Compliance,2,2026-04-13T02:57:29+02:00,https://www.jobs.ch/de/stellenangebote/detail/cc02dbad-efa8-44e1-bb19-16e7dc6d478c/
8d02ebde-d6f1-4050-aeeb-8a2e39d89ba7,Consultant M&A und International Tax (Graduate),Ernst & Young AG,Zürich,Zuerich,Zürich,Beratung diverse,Mittellohn,"Freiberufliche, wissenschaftliche und technische Dienstl.",Junior,On-site,CHF 85000 - 125000 (jobs.ch estimate),8750.0,113750.0,8098.0,652.0,8.1,Go | Deutsch | Englisch,3,2026-04-13T02:57:59+02:00,https://www.jobs.ch/de/stellenangebote/detail/8d02ebde-d6f1-4050-aeeb-8a2e39d89ba7/
ce2784b5-907e-4a72-bf2e-4a5624e1daac,Tax Consultant in Luzern oder Zug (Graduate),Ernst & Young AG,Lucerne,Luzern,Zentralschweiz,Beratung diverse,Mittellohn,"Freiberufliche, wissenschaftliche und technische Dienstl.",Junior,On-site,CHF 89870 - 129870 (jobs.ch estimate),9156.0,119028.0,7668.0,1488.0,19.4,Go | Deutsch | Englisch,3,2026-04-13T02:58:16+02:00,https://www.jobs.ch/de/stellenangebote/detail/ce2784b5-907e-4a72-bf2e-4a5624e1daac/
